id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
456,Nature @ Work,Private,http://www.johnarifin.com/,"John Arifin is a Singapore based photographer and educator, having first taught a photo class and course in Singapore at the National University of Singapore Extramural Department in 1987. John attended master class at Brooks Institute of Photography in California in 1989 and participated in the BBC Wildlife Photo Symposium in London. He was awarded with his Associateship from Royal Photography Society (RPS) in UK in 1992. Back then he wished that he had a mentor to help and guide him on photography. With that in mind John decided to share his experience and skills with others in Singapore.

John and his wife Anna now travel across Asia to document wildlife and culture. In search of a perfect moment to freeze in time and to inspire others through images held from a photo journalistic view. They contributed their photographs and story write-ups to various regional magazines such as Asian Geographic, Asian Photography, Asian Escape, Wingspan-Birds Australia and Spa Asia. John received ""Best of The Decade Award "" in photojournalism from Asian Geographic Magazine in 2009. You can read their travel journal in www.PhotoTravelAsia.com",Recreational and Leisure,Photography Courses & Workshops,Depends on course schedules (Please enquire),"Depends on courses, ranges from 5 hours to more","Limited to 6 participants, minimum 3
",">$1,000",Nature @ Work,Not Provided,,Not Provided,Not Provided,NA,johnanature@gmail.com,"6235 0021 (Call)

9616 9149 (Hp)"
457,School of Photography Singapore,Private,"http://sops.sg/
http://www.facebook.com/SOPSG
Twitter : @SOP_SG","School of Photography Singapore (SOP) is a photography learning centre dedicated to sharing the art and broadening photography culture. Our goal is to nurture you, the photographer of tomorrow, by providing you with the right foundation today. Founded and led by a renowned professional photographer Alan Lim (www.alanlimstudio.com) SOP is supported by a prolific team of award-winning photographers; together we are dedicated in sharing our decades of knowledge with everyone who are interested in mastering this craft.",Recreational and Leisure,"Photography Courses & Workshops, Overseas workshop","Depends on schedule, 
(Please enquire)","Depends on courses, ranges from 2 hours to more","Limited to 6 participants
"," >$1,000 ",School of Photography Singapore,30 Merchant Road,#03-22 to 24,Singapore 058282,"Monday to Saturday from 9am to 5pm
Closed on Sunday, eve of public holiday and public holidays

By appointment only",Central,contact@sops.sg,8133 5134
458,Knowledge Bowl Training & Consultancy,Private,"www.knowledgebowl.com.sg
http://www.facebook.com/knowledgebowl.photovivo","Knowledge Bowl Training & Consultancy conducts photography courses targeted at amateur photographers who want to learn to take better pictures and meet more like-minded friends.

With qualified instructors to conduct a wide range of digital photography classes as well as Adobe software courses, students will be better equipped with the knowledge and skills to manage their digital workflow.",Recreational and Leisure,Photography Courses & Workshops,"Depends on intakes, 
(Please enquire)","Depends on courses, ranges from 2.5 hours to more",Depends on course requirements, <$500 ,Bowl Training & Consultancy,190 Middle Road,"#04-16 
Fortune Centre",Singapore 188979,Monday to Sunday 12.00pm to 9.00pm (Closed on eve of Public Holiday and Public Holiday),Central,knowledgebowl2007@gmail.com ,6333 0348
459,Objectifs Centre for Photography and Filmmaking,Private,www.objectifs.com.sg.,"Established in 2003, Objectifs offers a space for all photography and filmmaking enthusiasts to learn and share. We provide quality instruction in both crafts. Our courses are offered at a part-time level, so that you can learn and create outside the confines of a diploma or full-time environment. Our instructors are all full-time artists - passionate about their craft and keen to inspire students.

To complement the courses and workshops, Objectifs regularly hold photography exhibitions, film screenings and talks to create awareness among its students and other visual arts enthusiasts. Objectifs also curates for external venues like galleries, museums and schools.",Recreational and Leisure,"Courses and Workshops on potography, Videography","Depends on courses, 
(Please enquire)","Depends on courses, ranges from 2.5 hours to more",Depends on course requirements, <$500 ,Objectifs Centre for Photography and Filmmaking,56A Arab Street,"(corner of Arab Street and Baghdad Street, 2nd floor)*",Singapore 199753,"Monday to Friday: 11am to 7pm   
Saturday: 12pm to 6pm  
Closed on Sundays and public holidays",Central,info@objectifs.com.sg, 6293 9782 
460,Dance Unlimited,Private,"http://www.danceunlimited.sg/dnn/ABOUTUS.aspx
 www.facebook.com/DanceUnlimited","Dance Unlimited came about because of our common love for Latin street dance and the passion for life.  We are made of up individuals with an appetite for life and who simply just want to make dancing fun for all. Our instructors are well-established in the local and regional Salsa dance scene, having competed, performed and taught throughout Asia and garnered accolades for their contribution. So don’t worry, you’re in safe hands.

There isn’t a dull moment when learning with Dance Unlimited. Take the plunge, join us for a class and don’t forget to bring along your sense of humour. ",Recreational and Leisure,Courses on Salsa,Weekly,6 sessions,NA,<$250,Dance Unlimited,"8 on Claymore
","#01-03 
Dance On Us Studio
(Next to The American Club)",Singapore 229572,Not Provided,Central,info@danceunlimited.sg,9105 5840
461,Dance Arts,Private,"http://www.dancearts.com.sg
 www.facebook.com/dancearts.singapore","DANCE ARTS SINGAPORE established since 1983, has been providing a wide and exciting range of classes for children and adults, all taught by professional teachers.

Our studio is located at Funan Digitalife Mall, close to the City Hall MRT. Our air-conditioned studio is open 7 days a week.",Recreational and Leisure,"Courses on Dance, Kickboxing etc",Weekly,1hour per session,There is no age limit.,<$500,Dance Arts,"109 North Bridge Rd 
","#05-39
FUNAN Digitallife Mall",Singapore 179097,Not Provided,Central,dance@dancearts.com.sg,6338 2124
462,Angel Dancinz,Private,http://angeldancinz.webs.com,"People’s Association Registered Dance Trainer 

Finalist of the “Worlds XII Country Dance World Championships 2004 –                 Line Classic Crystal Intermediate Female”

·         Overall Champion of “The 2003 Asian Pacific Dance Championship – Line               Classic Crystal Intermediate Female”

·         Accredited by the P.A.L (Professional Association of Line dancers) on                       “Professional Line Dance Trainer Accreditation Programme”- 2003

·         Singapore Sports Council Registered Dance Trainer

·         People’s Association Registered Dance Trainer

·         Awarded “Millennium Award – Gold Medal” and Highly Commended by the               National Association of Teachers of Dancing (NATD) – May 2000

·         Awarded “Country & Western Line Dancing Award – Gold Grade, tested,                 satisfied and Highly Commended by the Examiner of the National                           Association of Teachers of Dancing (NATD) – May 2000",Recreational and Leisure,Courses on Line Dancing,"Depends on schedules
(Please enquire)","Depends on courses, average 1.5 hour per session",No age limit,<$100,Angel Dancinz,Not Provided,,Not Provided,Not Provided,NA,"alison@nulinedance.com
angeldancinz@gmail.com",9733 3679
463,Broncobeat,Private,http://www.broncobeat.net,Broncobeat provides dance lessons for those who are keen in line dancing. ,Recreational and Leisure,Line Dancing (Events based and ongoing lessons),"8 weeks

(Please enquire)",4 hours,NA, <$100 ,Broncobeat,Not Provided,,Not Provided,Not Provided,NA,phtan53@yahoo.com.sg,9450 8300
464,Country Bandwagon,Private,http://www.countrybandwagon.com/,"Country Bandwagon was formed in December 1998 by Audrey Lee, Eric Tan and Mary Lee. The trio set up the group for the sheer love of Country Line Dancing and to help propagate it to Singaporeans young and old. After mastering early dance favourites such as ""Cowboy Cha Cha"", ""Bootscootin' Boogie"" and ""Achy Breaky Heart"", they immersed themselves in the fundamentals of Country Line Dancing in countless hours of practice and jams to emerge as one of the leading groups of Country Line Dance instructors in the republic. Line Dance classes by Country Bandwagon commenced in late 1998 for the Eurasian Association and the Singapore Teachers' Union. From then on there was no stopping the group. Driven by sheer enthusiasm and passion for the dance, their commitment and labour of love contributed to the phenomenal popularity and growth of Country Line Dancing in Singapore.",Recreational and Leisure,Line Dancing(intermediate/advanced level)The lesson are ongoing.,Once a week,1.5- 2 hours,NA, <$100 ,Country Bandwagon,Not Provided,,Not Provided,Not Provided,NA,No available information, 9776 2438
465,Dance of Joy,Private,http://www.freewebs.com/danceofjoy/,Dance of Joy provides dance lessons for those who are keen in line dancing. ,Recreational and Leisure,Line dancing (Event-based and classes based at different ccs),"Depends on date schedule

(Please enquire)",1 and a half hour,NA, <$100 ,Dance of Joy,Not Provided,,Not Provided,Not Provided,NA,"taybeekhim@hotmail.com
taybkhim@yahoo.com.sg",96964077
466,DerRangers Club,Private,http://www.derrangers.webs.com/,Perform at Kreta Ayer CCs and Rochore Cente. This is a non-profit oriented site that provides Line Dancing information to Line Dancers. We hope to provide Line Dancing as a form of exercise in our approach to a Healthy Lifestyle.  ,Recreational and Leisure,Line Dancing (Event-based and classes based at different ccs),Once a week for ongoing classes,2 hours,must have some experience in line dancing as they only have intermediate lessons  and higher levels available for now, <$100 ,DerRangers Club,Not Provided,,Not Provided,Not Provided,NA,derranger2004@yahoo.com.sg,9108-9668
467,Singapore Soka Association,Non-Profit ,http://www.ssabuddhist.org/,"Singapore Soka Association is a Buddhist society established to promote understanding and practice of Nichiren Buddhism. The organization was officially registered with the Registry of Societies in 1972. SSA became a registered charity in 1985.

Koh Kian Boon was the first general director and under his leadership the rapidly expanding association grew to be one of Singapore's active grassroots-based bodies contributing to the newly independent nation's community and social fabric, most notably through the participation in the annual National Day Parade[2] and Chingay Parade[3] performances.",Learning and Enrichment,"Talks(security, health, dementia,etc),giving tetsimonial and sharing ",once a month(First Saturday of every month),Sat 2pm-3.30pm (1.5h),Must be a Soka member,$0 ,Singapore Soka Association,10 Tampines Street 81,,Singapore 529014,"Mon-Fri(10-4pm)
Sat 10am-2pm
Sun not opened for visting",South East,Not Provided,6787 3255
468,Thekchen Choling,Non Profit,http://www.thekchencholing.org,"Thekchen Choling is a registered Buddhist organisation in the Republic of Singapore.[1][2] The organisation was started in 2001 by Lama Thubten Namdrol Dorje Tulku and a group of his initial disciples. The organisation promotes non-sectarian Buddhism, emphasizing understanding of Theravada [3] and Mahayana teachings.

TCCL is committed to the Rime (non-sectarian) movement within Tibetan Buddhism [4] though it is of the Gelug tradition. The primary practices and teachings of this temple are from Guru Rinpoche lineage and Lama Tsongkapa lineage",Recreational and Leisure,Yoga,"Once  a week(starting on 13th July)There would only be 5 sessions for now. They would be looking at the reponse rate before deciding if they should have a ongoing sessions for this programme. 

(Please enquire)",2pm-3.30pm(1.5h),NA,<$100,Thekchen Choling,2 Beatty Lane ,,Singapore 209945,"The temple is open 24 hours.Reception Counter Opening Hours:Weekdays (Mon – Fri)
- 11am to 2pm
- 6pm to 7am

Weekends (Sat & Sun) & Public Holidays
- 11am to 4.30pm
- 5.30pm to 7am",Central,Contactus@thekchencholing.org,6466 3720
469,Able Studio (Khoo Teck Puat Hospital),Non-Profit ,http://www.theablestudio.com.sg/,"The Able Studio aims to be a one stop resource and solution provider catering to the needs of seniors requiring rehabilitative care. Additionally, the ABLE studio seeks to be a platform for the creation, test-bedding and exchange of new ideas in collaboration with community, academic and commercial partners to come up with solutions for the recovering patient or the ageing person.",Volunteering Opportunities,ABLE Studio Ambassador. Help our patients transition from hospital to home. Chat with patients and caregivers to provide useful product information and home care tips.,any day of the week,"2 hrs per session, 10.00am to 2.00pm.",NA, NA ,Able Studio (Khoo Teck Puat Hospital), 90 Yishun Central Singapore  ," #01-03 to 06
Tower B  ", Singapore 768828  ,Not Provided, North West ,  volunteers@alexandrahealth.com.sg , 6555 8000  
470,CLARITY Singapore,Non-Profit ,http://www.clarity-singapore.org/,"CLARITY Singapore provides customized training talks and workshops conducted by qualified psychologists and counsellors that can cater to seniors, particularly with regard to mental wellness. Some of these topics include Understanding Anxiety and Depression, Emotional Regulation and Mindfulness and Think Positive! - The Way to Good Health.",Learning and Enrichment,"Talks, courses on origami and Jamming (Venue may differ, please enquire)",Depends on event(one time event only),"Depends
Talks and jamming(2h)
Oriagami(1h)",NA, <$100 ,CLARITY Singapore,854 Yishun Ring Road ,#01-3511,Singapore 760854,"Opening hours: Monday to Friday, 9am – 6pm
",North West," lightingtheway@clarity-singapore.org
 "," 6757 7990
9710 3733  "
471,Healthy Ageing Association,Non-Profit,http://healthyaging.org.sg/aboutus.htm,"Singapore's first association to promote healthy ageing is made up by a group of doctors and business professionals that is dedicated to studying, educating and promoting awareness of the practice of healthy ageing. HAA! Organises monthly talks and local and overseas trips and excursions on different topics, all of which relates to healthy ageing. For example one of the workshops that HAA! Organises is titled ""Understanding Diabetes and Its Control"". Excursions are done to places such as organic farms and places that produce healthy foods such as Salmon. These trips include meals at selected restaurants. Most of these events however require an event cost on top of a membership fee that seniors would have to pay. ",Learning and Enrichment,Talks and workshops ,Monthly," All HAA!  talks will be conducted on Saturday afternoons from 2.30 pm to 4.30 pm. 

Schedule depends for other programmes
",You must be a member to take part in all the activities they offer. If you a non member you can only participate in the excursion., <$100 ,Healthy Ageing Association," 69 Tanjong Rhu Road
  ", #01-15 , Singapore 436902  , Office Hours: 9.00am - 5.00pm (Monday - Friday) , South East , haa_sing@singnet.com.sg ,"  6447 0996 
 "
472,Healthy Ageing Association,Non-Profit,http://healthyaging.org.sg/aboutus.htm,"Singapore's first association to promote healthy ageing is made up by a group of doctors and business professionals that is dedicated to studying, educating and promoting awareness of the practice of healthy ageing. HAA! Organises monthly talks and local and overseas trips and excursions on different topics, all of which relates to healthy ageing. For example one of the workshops that HAA! Organises is titled ""Understanding Diabetes and Its Control"". Excursions are done to places such as organic farms and places that produce healthy foods such as Salmon. These trips include meals at selected restaurants. Most of these events however require an event cost on top of a membership fee that seniors would have to pay. ",Recreational and Leisure,Outings (JB this August) for both memebers and non members,Monthly,Depends(For JB is a one day excursion morning to night),NA," >$1,000 ",Healthy Ageing Association," 69 Tanjong Rhu Road
  ", #01-15 , Singapore 436902  , Office Hours: 9.00am - 5.00pm (Monday - Friday) , South East , haa_sing@singnet.com.sg ,"  6447 0996 
 "
473,ProAge Pte Ltd,Non-profit,http://www.proage.sg/,"ProAge Pte Ltd is a social enterprise that creates opportunities for every individual to age with health and happiness through the delivery of fitness programmes. These are done based on 3 key foundations of a holistic approach, a belief in evidence-based practice and a socially inclusive mission. Locally, ProAge has been chosen as the provider of the national ""Wellness Programme"" which is a long-term strategy to deal with the nation's ageing population.",Recreational and Leisure,"exercise programmes(strength training, cardio workout) at Katong",Weekly,1 hour,No age limit,<$100,ProAge Pte Ltd,625 Aljunied Road," #04-09A, 
Aljunied Industrial Complex",Singapore 389836,Not Provided,South East,contact@proage.sg.,6743 4010
474,Q & N Pte Ltd,Private,http://www.qn-nutrition.com/,"Q & N Pte Ltd engages in the research, development, production and eventual marketing of health products. Q & N has expanded their operations to other countries such as Australia, Taiwan, Brunei and China.",Personal Health Care Services,"Free bone health test (At East, West, South and North areas - Please enquire)",Daily,not Provided,NA,$0 ,Q & N Pte Ltd,178 Paya Lebar Road, #06-08,Singapore 409030,Not Provided,South East,enquiry@qn-nutrition.com,6745 0321 
475,"SIM/ UniSIM
",Non-Profit,http://www.unisim.edu.sg/programmes/Continuing-Education/Pages/CETcourses.aspx,"The CET programme allows seniors to continually educate themselves, with the flexibility of choosing the courses that they wish to enrol in and also the pace of their study. The topics that are available for seniors to choose from range from those in the traditionally hard disciplines like Business and Finance to special interest topics such as Traditional Chinese  Medicine (TCM) or Art and Music Appreciation. Seniors can choose whether to take the courses on 2 tracks, either the Audit track where they are allowed to attend classes and seminars but are not allowed to take course assessments. Seniors pursuing the credit track are required to take all the assessment components of a particular course.",Learning and Enrichment,"Continuing Education & Training Programmes on Language, Engineering, Marketing, Management, Special Interest etc",Depends on courses schedule (Please enquire),"Depends on courses, (counted by credits, please enquire)","No maximum age.18 years old and above, and
GCE 'A' level with two passes (prior to 2006) or two H2 passes (from 2006), or a local Polytechnic diploma,  or an acceptable SAT 1 score, or an International Baccalaureate, or an NUS High School diploma."," >$1,000 ","SIM/ UniSIM
","461 Clementi Road
",,Singapore 599491,Monday to Friday: 8:30am to 5:30pm,North West,cet@unisim.edu.sg,6248 1616 / 6248 4383
476,Singapore Cancer Society,Non-Profit ,http://www.singaporecancersociety.org.sg/,"The Singapore Cancer Society is the main body in Singapore that helps needy cancer patients and concurrently push the cancer cause in Singapore through a variety of programmes that include direct aid and care for cancer patients, rehabilitative care, cancer screening and research and public education and community outreach. The Singapore Cancer Society was established in 1964 by individuals from the Rotary Club of Singapore West, the Lions Club and Jaycees, and was inaugurated by the then Minster of Health, Mr Yong Nyuk Lin.

 For the past 49 years, the Society has helped countless needy patients and advanced the cancer cause in Singapore through it many programmes and services, which include:

 The Singapore Cancer Society is a voluntary welfare organisation that depends on public donations to fund all its services and programmes. The Society is endorsed by the Ministry of Health and is a member of the National Council of Social Service. It also has IPC (Institute of Public Character) status as a charity since 1995",Learning and Enrichment,Health Talks and Forum on Cancer and Health Management,Depends on talk schedules (please enquire),"Depends on courses, ranges from 1.5 hours to more",NA,$0 ,Singapore Cancer Society,9 Bishan Place,"#06-05
Junction 8 Office Tower",Singapore 579837 ,"Mondays to Fridays, 8.30am to 6.00pm",Central,enquiry@singaporecancersociety.org.sg,6499 9133
477,Singapore Cancer Society,Non-Profit ,http://www.singaporecancersociety.org.sg/,"The Singapore Cancer Society is the main body in Singapore that helps needy cancer patients and concurrently push the cancer cause in Singapore through a variety of programmes that include direct aid and care for cancer patients, rehabilitative care, cancer screening and research and public education and community outreach. The Singapore Cancer Society was established in 1964 by individuals from the Rotary Club of Singapore West, the Lions Club and Jaycees, and was inaugurated by the then Minster of Health, Mr Yong Nyuk Lin.

 For the past 49 years, the Society has helped countless needy patients and advanced the cancer cause in Singapore through it many programmes and services, which include:

 The Singapore Cancer Society is a voluntary welfare organisation that depends on public donations to fund all its services and programmes. The Society is endorsed by the Ministry of Health and is a member of the National Council of Social Service. It also has IPC (Institute of Public Character) status as a charity since 1995",Volunteering Opportunities,"SCS Charity Athletes 

Volunteer Photographers and Videographers

Public Forums & Corporate Talks 
Volunteer Speaker 

You can provide General Assistance & Support by:
•providing administrative support
•plan and/or coordinate activities for beneficiaries, cancer support groups and care-givers
•organise fund-raising events
•provide logistical support for our events, such as public education forums
",Depends,Depends,Not Provided,NA,Singapore Cancer Society,9 Bishan Place,"#06-05
Junction 8 Office Tower",Singapore 579837 ,"Mondays to Fridays, 8.30am to 6.00pm",Central,enquiry@singaporecancersociety.org.sg,6499 9133
478,Singapore First Elvis Fan Club (Singapore),Non-Profit ,http://www.meetup.com/sfefc2004/,"The group is a meeting point for all fans of Elvis and they meet weekly to talk about all things related to Elvis Presley. At these sessions, they watch his movies, concerts on video and have singing sessions where they sing his songs. 

The SFEMG has been a partner of C3A from 2007 - 2010 and seeks to promote active ageing at community events. ",Recreational and Leisure,Social Bonding,Depends on meetup ,Depends on meetup,NA,$0 ,Singapore First Elvis Fan Club (Singapore),Bishan North Community Club,Blk 233 Bishan Street 22 ,Singapore 570233,Not Provided,Central,sfefc2004@yahoo.com.sg,Not Provided
479,"Singapore Heart Foundation
",Non-Profit ,www.myheart.org.sg,"The Singapore Heart Foundation (SHF), formerly known as the Singapore National Heart Association (SNHA), is a non-profit charitable organisation at the forefront of the battle against heart disease in Singapore.

Since its inception in 1970, the Foundation has grown into a well-established and reputable organisation with local and international links.

SHF is a member of the World Heart Federation and has strong ties with other heart foundations in the Asia Pacific region. It has contributed to the inauguration of the International Chinese Heart Health Network and helped to launch the Asia Pacific Heart Network.

In 1998, SHF hosted the 3rd International Heart Health Conference which culminated in the Singapore Declaration on Heart Health. With increased support from the public, government bodies and generous benefactors, SHF continues to play an increasingly important role in saving lives and promoting heart health in Singapore and the region through its various programmes.",Learning and Enrichment,"Public talks and workshops on Nutrition, CPR skills etc",Depends,Depends,NA,<$250,"Singapore Heart Foundation
","9 Bishan Place
","#07-01 
Junction 8 (Office Tower)",Singapore 579837,"SHF Office Hours
Mon to Fri: 8.30am - 6pm
Closed on weekends and Public Holidays

Heart Wellness Centre
Mon to Fri: 9am – 5:30pm
Sat: 9am – 12 noon
Closed for lunch: 12:30pm - 1:30pm
Closed on all Public Holidays",Central,info@heart.org.sg,6354 9340
480,Singapore Sports Council,Non-Profit ,www.ssc.gov.sg,"Guided group visits to the public libraries for people aged 50 and above are also available on request. Participants will get to learn more about library services, available for seniors through quizzes, hands-on activities and a guided tour of the library.",Recreational and Leisure,Senior Citizens can play badminton or table tennis at selected SRC halls for free when they are not booked during non peak hours (7am till 6pm on weekdays except public holidays). However they are only allowed to book the courts in the hour immediately prior to the period in which they wish to play.,Depending on seniors,only allowed to book the courts in the hour immediately prior to the period in which they wish to play.,Applicable only to Singaporeans and Singapore Permanent Residents aged 55 and above.,Free,"Singapore Sports Council
(Sport Singapore)",3 Stadium Drive,,Singapore 397630,Not Provided,South East,Not Provided,5346 7111
